"abbreviation","code","state","year","homicide.rates","state.gdp.capita","state.gdp.growth.percent","gini","population.projection","population.extreme.poverty","years.schooling","gini.imp","population.extreme.poverty.imp","years.schooling.imp","proportion.extreme.poverty","population.projection.ln"
"AC",12,"Acre",1990,15.7528767460446,8.5046506371,3.6802715838,0.5443582064,413495,48965,4.8069323392,0.5443582064,48965,4.8069323392,0.118417393197016,12.9324007014743
"AC",12,"Acre",1991,25.1365753929817,8.7232716989,4.9486247237,NA,422341,NA,NA,0.55197280455,54937.5,5.4977572863,0.130078538432215,12.953568323588
"AC",12,"Acre",1992,24.6693492644512,8.5758084005,2.9037203737,0.5595874027,438834,60910,6.1885822334,0.5595874027,60910,6.1885822334,0.138799637220452,12.9918764884289
"AC",12,"Acre",1993,26.0572024164514,8.5919435813,3.30100531,0.5532199072,455233,57492,5.5853917565,0.5532199072,57492,5.5853917565,0.12629137167121,13.0285646547729
"AC",12,"Acre",1994,19.7100384569932,8.4737417079,1.566071674,NA,471677,NA,NA,0.5677723345,48075.5,5.71321720565,0.101924622146087,13.0640497082786
"AC",12,"Acre",1995,22.6247822639007,8.5777487009,4.1316927097,0.5823247618,488112,38659,5.8410426548,0.5823247618,38659,5.8410426548,0.079201084996886,13.098300166699
"AC",12,"Acre",1996,21.0921167179641,8.5137013716,2.0086610407,0.632967802,504575,43173,5.7564170093,0.632967802,43173,5.7564170093,0.0855630976564435,13.1314717697683
"AC",12,"Acre",1997,19.9920831350958,8.2219297645,-0.8269731407,0.5743885751,521095,63519,5.891098796,0.5743885751,63519,5.891098796,0.121895239831509,13.163687645764
"AC",12,"Acre",1998,21.203791782674,8.3880379051,4.5295861197,0.5704532034,537720,64117,6.2416799159,0.5704532034,64117,6.2416799159,0.119238637208956,13.1950932575682
"AC",12,"Acre",1999,9.66044483508011,8.304872692,4.0925988843,0.6213160013,554541,73322,6.2599468256,0.6213160013,73322,6.2599468256,0.132221062103614,13.225896023526
"AC",12,"Acre",2000,19.3712938948007,8.4004032965,4.1088418927,NA,587407,NA,NA,0.62230835185,74322,6.06525126565,0.12652556064194,13.2834732145977
"AC",12,"Acre",2001,21.2408116079199,8.4772487716,3.8004244564,0.6233007024,602009,75322,5.8705557057,0.6233007024,75322,5.8705557057,0.125117730798045,13.3080276743453
"AC",12,"Acre",2002,25.7264309262615,8.6074182777,4.3880009673,0.6206820215,616781,74339,6.1935246378,0.6206820215,74339,6.1935246378,0.120527383301366,13.3322692966063
"AC",12,"Acre",2003,22.4772605048046,8.7019837683,3.8886274526,0.5781737914,631650,93370,5.6453789499,0.5781737914,93370,5.6453789499,0.14781920367292,13.3560907222582
"AC",12,"Acre",2004,18.7233903989753,9.2998229259,7.5803205902,0.5935716389,646548,143491,5.1925445025,0.5935716389,143491,5.1925445025,0.221934025006651,13.3794027203776
"AC",12,"Acre",2005,18.6640427511096,9.396913016,7.3612530992,0.5834207253,661427,146843,5.3703764048,0.5834207253,146843,5.3703764048,0.222009382743674,13.4021549011943
"AC",12,"Acre",2006,22.5733634311541,9.6611772592,5.4090475188,0.5923402321,676252,113474,5.6897300578,0.5923402321,113474,5.6897300578,0.167798394681273,13.4243210666246
"AC",12,"Acre",2007,18.9068970370367,10.7836698517,6.5359887195,0.6093219441,690997,157833,6.2911595806,0.6093219441,157833,6.2911595806,0.228413437395531,13.4458907612064
"AC",12,"Acre",2008,19.5567240575776,11.1098707418,6.9057975595,0.5598217732,705635,91922,6.5116671765,0.5598217732,91922,6.5116671765,0.13026848158042,13.4668533856191
"AC",12,"Acre",2009,21.5576798149038,11.0597301472,1.1675078909,0.6131852912,720132,97612,6.6530706796,0.6131852912,97612,6.6530706796,0.135547371870713,13.4871898075221
"AL",27,"Alagoas",1990,29.2462034772149,6.1245303676,8.0627200891,0.5743947783,2504847,916428,2.853450248,0.5743947783,916428,2.853450248,0.365861867012237,14.7337382127915
"AL",27,"Alagoas",1991,26.8485740423928,6.1700559571,2.5183064929,NA,2554807,NA,NA,0.57879482425,902552,3.29733572095,0.353276000887738,14.7534872406063
"AL",27,"Alagoas",1992,23.3464907109065,6.3226355082,2.9966307145,0.5831948702,2587145,888676,3.7412211939,0.5831948702,888676,3.7412211939,0.343496788931428,14.7660655090756
"AL",27,"Alagoas",1993,23.767534316051,6.0055725931,-3.8898804619,0.6333472488,2619299,1160994,3.8133070846,0.6333472488,1160994,3.8133070846,0.443246074617674,14.7784172826855
"AL",27,"Alagoas",1994,23.2855186376685,6.362685085,7.1737698438,NA,2651541,NA,NA,0.6384748995,971831.5,3.85394417255,0.366515735566601,14.7906515383853
"AL",27,"Alagoas",1995,27.2212705742245,6.181753266,-1.7415160755,0.6436025502,2683766,782669,3.8945812605,0.6436025502,782669,3.8945812605,0.291630864985994,14.8027315899645
"AL",27,"Alagoas",1996,28.1021444594631,6.1250000647,0.1881765424,0.6347739478,2716045,890737,3.9356749226,0.6347739478,890737,3.9356749226,0.32795369737983,14.8146873360065
"AL",27,"Alagoas",1997,24.1077051154567,6.3801014987,5.3113136998,0.6225423995,2748436,780817,4.3061629683,0.6225423995,780817,4.3061629683,0.284095027135433,14.8265425805833
"AL",27,"Alagoas",1998,21.7624860869017,6.447201319,2.16837817,0.6194046453,2781033,847460,4.1686480861,0.6194046453,847460,4.1686480861,0.304728494771547,14.8383329993809
"AL",27,"Alagoas",1999,20.3451675619876,6.2677884172,-1.3341021889,0.5880434356,2814014,972573,4.1615333202,0.5880434356,972573,4.1615333202,0.345617683494112,14.8501224917685
"AL",27,"Alagoas",2000,25.6499189937286,6.3133529976,1.9439823983,NA,2897881,NA,NA,0.5976026157,1013865,4.03577126095,0.349864262887261,14.8794903382177
"AL",27,"Alagoas",2001,29.2659395224322,6.3528049829,1.8336021106,0.6071617958,2937414,1055157,3.9100092017,0.6071617958,1055157,3.9100092017,0.359212899509569,14.8930401604102
"AL",27,"Alagoas",2002,34.2507738458426,6.2872324787,0.1550302125,0.605529575,2975948,1070274,3.982389875,0.605529575,1070274,3.982389875,0.359641364701265,14.9060732016642
"AL",27,"Alagoas",2003,35.6790571132179,6.178023009,-0.5608108662,0.6078257443,3013346,1135933,4.3060615794,0.6078257443,1135933,4.3060615794,0.376967331332014,14.9185616472312
"AL",27,"Alagoas",2004,35.0779942579309,6.3815555297,4.5156935401,0.5746424453,3049431,1042581,4.1831447619,0.5746424453,1042581,4.1831447619,0.341893618842335,14.9304655738026
"AL",27,"Alagoas",2005,40.1538379409538,6.6081828111,4.7671904699,0.565784874,3084050,946177,4.2268911388,0.565784874,946177,4.2268911388,0.306796906664937,14.9417542262447
"AL",27,"Alagoas",2006,53.0051146493744,6.8190719202,4.3799838839,0.6267320818,3117060,790927,4.6769350424,0.6267320818,790927,4.6769350424,0.253741346011947,14.9524008078424
"AL",27,"Alagoas",2007,59.6099969757484,7.1293278871,4.0898716833,0.6054482801,3148387,715101,4.8159409157,0.6054482801,715101,4.8159409157,0.22713249673563,14.9624008161605
"AL",27,"Alagoas",2008,60.334631790882,7.2077456254,4.1065992336,0.5827867882,3177975,725151,4.9735922963,0.5827867882,725151,4.9735922963,0.228180209095415,14.9717547594651
"AL",27,"Alagoas",2009,59.1869525087983,7.2927619283,2.1031359483,0.5719589624,3205791,677867,5.0355105894,0.5719589624,677867,5.0355105894,0.211450777670784,14.9804694197584
"AP",16,"Amapá",1990,16.1766926212669,9.5215635588,1.3680245361,0.4530852138,283271,12044,5.9842969867,0.4530852138,12044,5.9842969867,0.0425175891637337,12.5541593155948
"AP",16,"Amapá",1991,17.9683963551722,9.7164943169,5.3847757722,NA,290747,NA,NA,0.45733149515,31599.5,5.7518597255,0.108683838526279,12.5802087521849
"AP",16,"Amapá",1992,23.8779021463804,9.5533348074,8.5780000395,0.4615777765,311802,51155,5.5194224643,0.4615777765,51155,5.5194224643,0.16406244988807,12.6501236499534
"AP",16,"Amapá",1993,21.0497681287233,9.9624865074,10.1340430151,0.6576678832,332738,55468,5.2440227883,0.6576678832,55468,5.2440227883,0.166701729288509,12.7151106724966
"AP",16,"Amapá",1994,38.4138239387612,9.9455589035,5.0800518008,NA,353731,NA,NA,0.59606437485,51586,5.3688796283,0.145833981189096,12.7762920162498
"AP",16,"Amapá",1995,38.3216937575315,9.9051725699,4.5228028574,0.5344608665,374713,47704,5.4937364683,0.5344608665,47704,5.4937364683,0.127308099799046,12.8339156786021
"AP",16,"Amapá",1996,43.2194255505833,9.9554276523,5.2246803625,0.5190446617,395730,32175,5.4932895035,0.5190446617,32175,5.4932895035,0.0813054355242211,12.8884874395111
