Renda - desigualdade - coeficiente de Gini
Sigla,Código,Estado,1990,1992,1993,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,0.5443582064,0.5595874027,0.5532199072,0.5823247618,0.632967802,0.5743885751,0.5704532034,0.6213160013,0.6233007024,0.6206820215,0.5781737914,0.5935716389,0.5834207253,0.5923402321,0.6093219441,0.5598217732,0.6131852912,
AL,27,Alagoas,0.5743947783,0.5831948702,0.6333472488,0.6436025502,0.6347739478,0.6225423995,0.6194046453,0.5880434356,0.6071617958,0.605529575,0.6078257443,0.5746424453,0.565784874,0.6267320818,0.6054482801,0.5827867882,0.5719589624,
AM,13,Amazonas,0.5600973528,0.5489165777,0.5549744,0.5762555013,0.5457302075,0.58941124,0.5798885659,0.544297361,0.5754732955,0.5632862319,0.5563141057,0.5363294433,0.5122660596,0.5138941672,0.5504178712,0.5129211791,0.5090497043,
AP,16,Amapá,0.4530852138,0.4615777765,0.6576678832,0.5344608665,0.5190446617,0.5696600442,0.5788321584,0.5426324009,0.4755431313,0.5491893913,0.5938475877,0.5423378851,0.5271887986,0.4752295426,0.5091625902,0.455739821,0.5191645316,
BA,29,Bahia,0.6469645937,0.5940523851,0.6424388758,0.6063701696,0.6348562122,0.6120617959,0.5956276967,0.5853363795,0.5940717871,0.5925395778,0.5914295449,0.5558949617,0.5540109504,0.5569745484,0.5535843135,0.5590359353,0.5561032797,
CE,23,Ceará,0.6268535863,0.605416849,0.6275107911,0.6171762544,0.6287976651,0.6236414362,0.6179859989,0.6129580576,0.6125166314,0.5909418214,0.5694416441,0.5767822638,0.578923259,0.5482415606,0.5492169127,0.5398506858,0.5448917392,
DF,53,Distrito Federal,0.5892859524,0.6024022237,0.6194385147,0.5807090727,0.5928434725,0.5919731806,0.6222790717,0.6276297031,0.6242909827,0.6287337614,0.6337636742,0.6290878944,0.6081313711,0.6074288507,0.6139566693,0.6214850066,0.6239125492,
ES,32,Espírito Santo,0.646202077,0.55828142,0.58503125,0.6010675576,0.5805650267,0.5731032553,0.5815201637,0.5770015188,0.5936362903,0.5802355174,0.5571657004,0.5492547347,0.5581903814,0.5366934306,0.5260604527,0.5209855911,0.5316176427,
GO,52,Goiás,0.6117536682,0.587214882,0.5935047925,0.5561293477,0.5844054122,0.5497095454,0.5774609779,0.5594739499,0.5667656894,0.5537668203,0.5313149,0.5354028643,0.5571046191,0.5099149728,0.5239515743,0.5128250637,0.5101138078,
MA,21,Maranhão,0.5630582201,0.5254808488,0.607226377,0.5792354951,0.600957533,0.6186420898,0.6053190208,0.5748698246,0.5721235814,0.5668967113,0.5763211474,0.6091570673,0.5209770019,0.5946242962,0.5552361975,0.5206574389,0.5383402199,
MG,31,Minas Gerais,0.6064350926,0.5675046821,0.589791308,0.5882591111,0.5702230883,0.584596552,0.5695360844,0.5642385684,0.5602174031,0.5606709296,0.550412936,0.5422071579,0.5271753417,0.5276010192,0.5169030123,0.5145675098,0.5125340206,
MS,50,Mato Grosso do Sul,0.5862753541,0.5852794445,0.5648302614,0.555251251,0.5870589738,0.5760269516,0.5410454436,0.556348226,0.5705629979,0.562998711,0.5456844407,0.5357311946,0.5325427111,0.5327964536,0.5657565048,0.5290127954,0.5211886057,
MT,51,Mato Grosso,0.5615252086,0.5165420417,0.5793754455,0.5547927131,0.5738660276,0.6098521076,0.5761558288,0.5443685469,0.5707238798,0.5740062201,0.5487963872,0.5277364595,0.5225679332,0.5297991297,0.5155945448,0.5436293881,0.5044103614,
PA,15,Pará,0.5986979108,0.5488500506,0.5885926006,0.5619427834,0.5794039397,0.5730883461,0.5646266882,0.555816768,0.5513622506,0.5589998474,0.5187360149,0.5354433541,0.5155501068,0.5050871744,0.5224446187,0.4963187275,0.5088832228,
