Taxa de homicídios(100.000 Habitantes)
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,15.7528767460446,25.1365753929817,24.6693492644512,26.0572024164514,19.7100384569932,22.6247822639007,21.0921167179641,19.9920831350958,21.203791782674,9.66044483508011,19.3712938948007,21.2408116079199,25.7264309262615,22.4772605048046,18.7233903989753,18.6640427511096,22.5733634311541,18.9068970370367,19.5567240575776,21.5576798149038,
AL,27,Alagoas,29.2462034772149,26.8485740423928,23.3464907109065,23.767534316051,23.2855186376685,27.2212705742245,28.1021444594631,24.1077051154567,21.7624860869017,20.3451675619876,25.6499189937286,29.2659395224322,34.2507738458426,35.6790571132179,35.0779942579309,40.1538379409538,53.0051146493744,59.6099969757484,60.334631790882,59.1869525087983,
AM,13,Amazonas,18.0160013509364,19.0657950602901,16.1942192669526,15.5574645391385,16.8313895721886,18.2740582934054,18.7504263838652,18.938424111763,21.2639852358276,20.4197162240622,19.8751527524835,16.4815196650743,17.2867617168439,18.5082605896852,16.870227628701,18.5006492242985,21.0507495214482,20.9791385924585,24.7523567117036,26.9939178224038,
AP,16,Amapá,16.1766926212669,17.9683963551722,23.8779021463804,21.0497681287233,38.4138239387612,38.3216937575315,43.2194255505833,34.0875727159757,38.7321517254554,43.8852797857055,32.4925791141684,36.8933401505843,35.0426125913223,35.5259049289322,31.2782498644321,32.9646118164566,32.9693174214633,26.8592574907689,34.411674527535,30.4816256441332,
BA,29,Bahia,7.34260347051734,4.89552107006794,6.88066795022891,12.2006742134983,13.9355256099982,12.051351091684,14.8783954296389,15.4999566079932,9.70332492559811,6.81904591849666,9.35712782847337,11.9039096434969,13.0224458930543,16.033577212344,16.6388135633075,20.4339259630274,23.4836605406772,25.6181387783134,32.7528042433813,36.5157984628458,
CE,23,Ceará,8.84892002444848,9.6597157027733,8.43807115000662,10.7330898871244,9.49759673113871,12.5850871036911,12.9382064796808,14.7536807254397,13.417207276022,15.5911143031432,16.5395783766668,17.1973283460167,18.851557376402,20.107142714453,19.5622855923241,20.8958799795996,21.8202440265161,23.2249888403809,24.0340040331237,25.3400017548302,
DF,53,Distrito Federal,31.1016459504,33.2897381415,28.3342219514,36.0995295108,35.7584813549,39.5324468168,38.310685388,35.5884209769,37.4336332877,36.7029855315,37.5399898398,36.8542754297,34.6717692575,39.0904706931,36.4879518126,31.9316414278,32.2596342622,33.4835230254,34.1394626378,38.4750529751,
ES,32,Espírito Santo,35.3004488817808,37.452636257993,31.813466158674,40.8349297987496,42.3586553277699,41.5551829863429,42.7800694114646,49.9802497400298,58.3656243740463,52.5178264495178,46.7837088083753,46.6553916136943,51.1913626209966,50.4583557037257,49.415787161664,46.9433979978648,51.2083318900274,53.5555181787605,56.4041268826418,56.465354819798,
GO,52,Goiás,16.8421266874083,20.1796360847765,19.0071409414747,16.7085819543945,17.3318971046573,16.9663001930443,15.6147320678234,14.8499892450845,13.1529218984239,16.4990670808657,20.1469931012589,21.2454276888367,24.4704498685968,23.7259593277869,26.4145040986812,24.8758033701234,24.5866082032437,24.4150907861316,30.0085748561585,30.1030591052555,
MA,21,Maranhão,9.07312733957768,9.22873532048312,8.32792018521488,7.76197805854563,5.98722686183734,7.28314576842837,6.68302891721371,6.02404860633248,4.96562239876331,4.61394733529932,6.0869065155561,9.3535705510477,9.92541635484451,12.9732026751343,11.7096668852046,14.7951825705781,14.9566427139414,17.4139223910528,19.712827087419,21.8466428494844,
MG,31,Minas Gerais,7.45290326042072,7.69223342314068,6.93200034465353,7.42653843468741,6.7065449876913,7.1855397858102,7.34737860225792,7.73148247834533,8.59635700424923,8.93844929467553,11.4691372336007,12.9254531797465,16.2291660738188,20.6000700143727,22.6037120507747,21.8740191649246,21.3303768900499,20.8070424460177,19.4911131808507,18.1191358639658,
MS,50,Mato Grosso do Sul,20.2874146190232,21.9616900503487,23.4076438408176,24.8088663321062,27.2074140203204,32.7261910425308,37.7107157566503,37.3617133043323,33.423900243453,28.2242226989859,30.9913229108328,29.3221792205638,32.4205136829656,32.6772684200198,29.5637303060259,27.7684553000953,29.541865791031,30.0220978101996,29.5798376967178,30.8429195983902,
MT,51,Mato Grosso,20.9805061714633,22.1977663127759,17.2393588120801,16.4101672773957,14.1090240338493,25.8898501414321,29.2508560571537,33.1751503699781,36.2405549394063,34.7283464550493,39.7707511680629,38.5075474402381,36.9713017468718,35.0392428204489,32.1382858172325,32.1825451172534,31.4336002031945,30.4807590638895,31.8812119608834,32.9877804838606,
PA,15,Pará,15.464657733996,16.4038415696044,15.0840072308261,11.9704628828397,13.4279667413994,12.7556053544109,12.4844647349342,13.2018854982407,13.3311351695622,10.8214389523919,13.0161505235406,15.0590274454244,18.3770578702201,21.0342525235798,22.7301917281256,27.6303687879518,29.1260961664663,30.4034219575684,39.1723382102459,40.2769948382826,
PB,25,Paraíba,13.7079237181048,12.4331717021049,10.589877940016,10.9027341736297,11.730815279558,13.3534573328606,18.9374688409118,14.7370708465852,12.4940027296032,11.9682426827782,15.0704521861654,14.1270058185937,17.3964546139903,17.6206095196291,18.6044305646781,20.5792846140066,22.6043401437033,23.5604819488395,27.2537371018959,33.554786079621,
PE,26,Pernambuco,39.0551664893538,38.6371496053077,35.2931701793926,37.6142374823705,34.8113316718251,36.2514715827569,40.7213283937995,49.4588653710475,58.7870645597035,55.4030725224899,53.8243855028274,58.5021331114041,54.8070793281317,55.2817334548071,50.6502789406575,51.1909228878321,52.6662308785016,53.0796189628264,50.731641637442,44.6181397765619,
PI,22,Piauí,4.451302163463,4.29876493771681,3.65575980349766,4.55325083293643,3.82670026236826,4.44039630353243,4.6762448631346,5.67517943582249,5.19350789413362,4.79123737545791,8.22993741731525,9.71116083875675,10.8688488785056,10.8082409416744,11.7661699218168,12.848250840458,14.4050800817056,13.2556841908325,12.4159198400034,12.3790575623053,
PR,41,Paraná,14.0651833415223,14.5110858896401,12.7612369065695,14.4157152255857,14.6224162681694,15.9305757445573,15.2491102649597,17.3481181010912,17.637295762983,18.1107153465958,18.4661238644049,21.0319606377434,22.7190033848746,25.4875130364826,28.0866763018084,29.0493712628442,29.7956910905933,29.6044504849834,32.6057119579564,34.4274892880765,
RJ,33,Rio de Janeiro,56.0485023753084,39.3435014826364,34.9637870085827,41.0401072523019,48.6561451861696,61.5427796398418,60.0389010904561,58.7651556708404,55.3231602746923,52.5009545628129,50.982254395388,50.4994964818317,56.5113373450971,52.6912032036361,49.1641332382095,46.1405791247249,45.7661492431381,40.1117359327452,33.9899001799549,26.2204796311402,
RN,24,Rio Grande do Norte,8.58455490562664,9.14899069246293,8.10975529837755,9.74666266679703,8.21700763317522,9.6425480336423,9.26266092408352,9.09684516784378,8.49699899711621,8.51395988040719,9.03924038689343,11.2247678053926,10.5510375771105,14.1616232474977,11.6991591999082,13.5862326176091,14.7844428236353,19.2600384033588,23.1777313507653,25.1462402068255,
RO,11,Rondônia,51.326351453697,43.3480593135676,34.593294115999,39.3813028204813,30.7465685048212,24.4119847167571,24.4040133213303,28.1950844976378,38.3174487004609,33.4661698662446,33.7733287819191,40.131318196607,42.3250564334147,38.3951249867785,37.9745124802371,35.9706604526142,37.6982679278027,27.3580259957762,32.1378499510623,35.5739136159078,
RR,14,Roraima,61.2814189835138,35.8483888906493,42.1640000179582,29.8641182619009,30.9779500539774,33.5629343158427,43.296874936769,35.3637356678325,50.6327171740472,57.6964865087384,39.45782482574,31.7269231111384,34.8837879757489,29.6672786709324,22.5726881351662,24.0213841427986,27.2722764912729,27.9328936310635,25.4370940663673,27.28370545937,
RS,43,Rio Grande do Sul,18.6350854903956,18.4381315880806,16.9030200062365,12.4645805284487,14.0463444942474,14.9289709836176,15.2158533831097,16.7279324203898,15.3439393669117,15.2731650189689,16.3136332306589,17.9288927307935,18.2975670674523,18.0762855402405,18.4957377830154,18.5799873527061,17.9144513799603,19.6203772870369,21.8051896535589,20.4140684083903,
SC,42,Santa Catarina,8.42289680267493,7.81595043939216,7.53954786179222,7.62157151695601,7.06801972753271,8.35299595498871,8.28676472398244,8.36978728639646,7.93514263866703,7.47287405559015,7.89715403744753,8.40567166271695,10.3478505958567,11.6458242675381,11.1140361659913,10.5001372176964,11.0098610424614,10.4475744187159,13.0357481850385,13.090958299006,
SE,28,Sergipe,10.0871336208899,21.5835632452091,30.5437983555323,20.1727509316208,21.4088682119473,15.5738690412008,14.3471139518083,11.3446965354059,10.3269304386228,19.7344029613253,23.3121786519906,29.2739080337059,29.7393017060256,25.2320898838514,24.381721065752,25.0023122057062,29.8385419998805,25.8676226867949,28.7089859125878,32.8257635208079,
SP,35,São Paulo,30.6864076954964,30.6151602183322,28.1516413027833,28.1915872010499,30.0838752897849,34.3210807431124,36.1967237715195,36.118657732626,39.680884181123,44.1414151341124,42.2089811455003,41.8414989806779,37.9645371304677,35.916397332448,28.5835432288553,21.5786139542146,19.8900222553554,14.9627127470305,14.9152795298083,15.2691533212269,
TO,17,Tocantins,5.87534947244571,10.1102011930002,7.10343986725709,9.58559316268638,10.6989330337677,7.44793151080679,12.2062629572376,11.1959391125957,12.0959807041965,13.0410378551457,15.3833123901312,18.6520713505044,14.9129086136956,18.2898873993264,16.3573922646333,15.4705339938173,17.7118270725274,16.4840542531515,18.1177953454456,21.8255611374995,
