Número de indivíduos extremamente pobres - Linha de Pobreza Baseada em Necessidades Calóricas
Sigla,Código,Estado,1990,1992,1993,1995,1996,1997,1998,1999,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,48965,60910,57492,38659,43173,63519,64117,73322,75322,74339,93370,143491,146843,113474,157833,91922,97612,
AL,27,Alagoas,916428,888676,1160994,782669,890737,780817,847460,972573,1055157,1070274,1135933,1042581,946177,790927,715101,725151,677867,
AM,13,Amazonas,117249,435590,391417,307022,245157,329510,470027,435991,487935,497348,501230,626490,392286,443100,578137,436325,333527,
AP,16,Amapá,12044,51155,55468,47704,32175,62181,73413,90531,42144,84508,113726,109970,68020,61807,77317,39316,55950,
BA,29,Bahia,4480819,4306645,4653413,3804161,4145618,3895008,3566113,3556144,3988479,3916559,4160184,3378609,3015281,2547395,2406856,2179443,2037599,
CE,23,Ceará,2828804,2711508,2525528,2152823,2314388,2334194,2134921,2278784,2252762,2019136,2201543,2069790,1950738,1625764,1546241,1138074,1233824,
DF,53,Distrito Federal,85091,153815,164796,81431,120079,105671,131356,155497,166977,177776,236800,198015,135009,105844,85840,88660,70596,
ES,32,Espírito Santo,485452,380087,369116,281889,255184,304998,303872,281557,317980,248170,255169,191603,210703,154527,123603,124365,122359,
GO,52,Goiás,618052,504739,488172,464919,376955,362615,340523,423515,406232,375346,440458,264659,306126,215699,221676,201079,204316,
MA,21,Maranhão,2199638,1337321,2279318,2043362,1945166,2353085,2070783,1927049,2058992,1871372,2146171,2199174,1753304,1704414,1525002,1152127,1188589,
MG,31,Minas Gerais,2210150,2403958,2219831,1634031,1652971,1699330,1649290,1682249,1671437,1541674,1572255,1174461,955329,757696,737251,657833,624043,
MS,50,Mato Grosso do Sul,164858,192606,212639,142033,189809,167924,120201,179416,173843,139992,143817,142532,146682,104966,74963,72283,63147,
MT,51,Mato Grosso,206825,302587,223836,214702,248405,189742,177734,171962,229687,214223,216629,129420,157887,139258,123191,111991,126634,
PA,15,Pará,496823,749309,645074,471311,628116,622747,558612,641123,797281,773518,850106,1188891,1119429,924569,820763,690379,804484,
PB,25,Paraíba,1436968,1352562,1367204,893400,953192,1038014,919663,998988,1076750,922176,970155,966606,758278,576461,653122,585161,549539,
PE,26,Pernambuco,2490340,2701373,2670029,1838990,2046824,2204462,1917429,2272555,2487115,2324817,2665465,2474851,2095540,1820167,1670833,1537481,1468622,
PI,22,Piauí,1488412,1301830,1205849,996799,1060591,1110550,1026368,1029302,962669,994630,1077811,858127,887912,749496,637121,557210,464265,
PR,41,Paraná,1510054,1495275,1100856,1110830,920437,891865,980186,1086852,1000395,770975,840225,714090,621674,524701,403278,383834,373863,
RJ,33,Rio de Janeiro,1432256,1097294,1537318,936774,974421,839160,811959,843830,1133180,861546,1109863,970886,908743,663714,737593,595158,553630,
RN,24,Rio Grande do Norte,910432,900603,911374,618821,693320,640249,596610,704243,728292,697438,730640,692072,600515,465472,474672,404287,333122,
RO,11,Rondônia,78813,119606,101426,93510,87579,90806,66297,103249,136517,133602,113149,126285,192033,157466,155293,129478,114198,
RR,14,Roraima,786,12105,19115,4573,14584,11328,28821,22718,43525,60020,46504,122212,80648,44139,54209,39266,38953,
RS,43,Rio Grande do Sul,1079562,828509,894246,802848,948759,846588,788498,943900,848605,850371,868413,755303,710606,585828,575432,396196,376825,
SC,42,Santa Catarina,428902,406936,351210,332137,322600,282397,357193,366984,249782,191266,226695,180516,145616,99523,93227,100465,102899,
SE,28,Sergipe,411077,491798,496075,398232,388218,453198,393962,443067,484476,433237,478700,388209,409172,301367,299645,266205,280663,
SP,35,São Paulo,1520757,2378440,2340518,1593669,1489278,1645960,1559028,1984047,2382718,2354203,2778563,2236815,1978448,1466123,1382576,1194966,1187057,
TO,17,Tocantins,,389252,297083,343311,332631,350815,301368,285253,262593,263764,269098,231437,196221,171458,173268,134273,113423,
