População residente - 1º de julho - projeção
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,413495,422341,438834,455233,471677,488112,504575,521095,537720,554541,587407,602009,616781,631650,646548,661427,676252,690997,705635,720132,
AL,27,Alagoas,2504847,2554807,2587145,2619299,2651541,2683766,2716045,2748436,2781033,2814014,2897881,2937414,2975948,3013346,3049431,3084050,3117060,3148387,3177975,3205791,
AM,13,Amazonas,2073666,2127602,2205034,2282029,2359234,2436396,2513691,2591252,2669305,2748281,2872524,2946727,3021363,3096127,3170740,3244995,3318679,3391594,3463562,3534456,
AP,16,Amapá,283271,290747,311802,332738,353731,374713,395730,416820,438044,459519,499329,519202,538836,558398,577786,596914,615692,634068,651977,669360,
BA,29,Bahia,11833426,12065837,12188959,12311385,12434146,12556838,12679740,12803067,12927177,13052753,13519548,13664222,13805391,13942631,14075570,14203837,14327129,14445266,14558148,14665810,
CE,23,Ceará,6368785,6463534,6577637,6691095,6804863,6918567,7032467,7146759,7261778,7378155,7601788,7718435,7830721,7938714,8042368,8141584,8236289,8326445,8412055,8493155,
DF,53,Distrito Federal,1587015,1621458,1670943,1720149,1769489,1818802,1868199,1917766,1967649,2018121,2108798,2148606,2190118,2233473,2278824,2326355,2376239,2428637,2483669,2541434,
ES,32,Espírito Santo,2588421,2638835,2692506,2745874,2799388,2852872,2906448,2960208,3014310,3069052,3194255,3244851,3295622,3346440,3397224,3447900,3498381,3548614,3598524,3648075,
GO,52,Goiás,3999473,4073206,4180857,4287901,4395236,4502511,4609970,4717800,4826316,4936113,5075596,5193467,5309216,5422815,5534201,5643344,5750254,5854898,5957260,6057367,
MA,21,Maranhão,4922472,5007534,5084188,5160409,5236837,5313223,5389740,5466521,5543790,5621971,5794912,5879264,5964486,6049974,6135099,6219144,6301445,6381473,6458789,6533027,
MG,31,Minas Gerais,15777299,15993315,16220463,16446328,16672808,16899162,17125905,17353430,17582401,17814076,18178042,18402608,18620721,18832431,19037702,19236503,19428834,19614742,19794278,19967560,
MS,50,Mato Grosso do Sul,1770532,1807465,1839382,1871119,1902942,1934747,1966608,1998578,2030751,2063304,2125821,2163050,2200183,2237147,2273874,2310307,2346398,2382080,2417300,2452039,
MT,51,Mato Grosso,1975816,2055048,2107140,2158938,2210877,2262788,2314787,2366966,2419476,2472606,2560993,2611854,2662431,2712685,2762537,2811904,2860741,2908961,2956496,3003310,
PA,15,Pará,4884045,5016290,5152286,5287514,5423111,5558632,5694386,5830609,5967696,6106403,6386876,6516683,6646479,6775865,6904392,7031660,7157305,7281011,7402515,7521656,
PB,25,Paraíba,3212822,3256238,3280306,3304238,3328236,3352220,3376245,3400354,3424615,3449163,3472839,3507296,3542012,3576975,3612078,3647204,3682222,3717022,3751507,3785598,
PE,26,Pernambuco,7151534,7245114,7327198,7408818,7490660,7572457,7654395,7736615,7819357,7903077,8119689,8212595,8304375,8395002,8484308,8572129,8658333,8742825,8825549,8906488,
PI,22,Piauí,2582455,2625168,2652030,2678740,2705522,2732290,2759104,2786010,2813087,2840484,2877451,2912304,2945649,2977378,3007333,3035330,3061253,3085026,3106597,3125918,
PR,41,Paraná,8510008,8583803,8701353,8818239,8935444,9052583,9169924,9287670,9406163,9526056,9665334,9786066,9903412,10017462,10128262,10235875,10340390,10441872,10540407,10636065,
RJ,33,Rio de Janeiro,12874428,13014825,13180910,13346057,13511655,13677160,13842949,14009311,14176729,14346124,14802363,14954176,15100157,15240284,15374696,15503631,15627358,15746038,15859866,15969092,
RN,24,Rio Grande do Norte,2406035,2453259,2491709,2529943,2568281,2606598,2644980,2683495,2722255,2761472,2837885,2884661,2930535,2975550,3019694,3062933,3105227,3146552,3186891,3226259,
RO,11,Rondônia,1090093,1148662,1175547,1202280,1229086,1255878,1282715,1309645,1336745,1364166,1401535,1431048,1459811,1487850,1515151,1541715,1567546,1592640,1616992,1640607,
RR,14,Roraima,207950,219349,231276,243135,255027,266912,278817,290764,302786,314951,336829,351178,365275,379035,392392,405273,417634,429406,440533,450969,
RS,43,Rio Grande do Sul,9159235,9288227,9397527,9506211,9615190,9724109,9833214,9942696,10052874,10164353,10266739,10365992,10459249,10546778,10628806,10705605,10777424,10844476,10906958,10965071,
SC,42,Santa Catarina,4529689,4609901,4697603,4784810,4872254,4959650,5047195,5135043,5223449,5312899,5454144,5539977,5626501,5713792,5801932,5890979,5980986,6072000,6164049,6257173,
SE,28,Sergipe,1482911,1513630,1545297,1576786,1608360,1639916,1671527,1703246,1735168,1767466,1824047,1856879,1888967,1920338,1950985,1980891,2010083,2038561,2066358,2093507,
SP,35,São Paulo,31485089,32066041,32650881,33232425,33815548,34398346,34982145,35567960,36157494,36753995,37799568,38323392,38835718,39336185,39824526,40300493,40763876,41214356,41651651,42075716,
TO,17,Tocantins,917767,932030,958030,983883,1009806,1035715,1061668,1087711,1113920,1140437,1186152,1211273,1236171,1260783,1285028,1308824,1332107,1354808,1376898,1398334,
