Despesas por função - segurança nacional e eefesa pública - estadual
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,374.688,1657.4298181818,22774.3069090909,514101.818181818,15177000,22289330,23093706.48,3254730.36,3098986.44,50275974,75807741.07,85087987.03,113043467.37,120464258,124853276.12,138555591.6,152127568.45,185812628.05,228366119.57,278382734.83,
AL,27,Alagoas,1076.4338181818,5505.976,65127.5792727273,1556686.54545454,40978000,51157687.92,94093273.92,85633405.67,105639124.92,135964424.91,161123556.63,156684837.77,210482117.78,232300345.95,267767202.66,326008111.34,386030251.49,460776717.02,588545396.44,718569877.8,
AM,13,Amazonas,1349.1447272727,5819.0730909091,48430.1610909091,1289768.36363636,32178000,63455442.14,89342013,102956150.17,112736683.07,120324898.37,130212346.19,230488422,292431484.99,282099312.7,323955931.86,389504658.71,430738582.48,465134069.37,559540048.91,634424611.26,
AP,16,Amapá,69.1763636364,495.4672727273,8417.1894545455,237968,9169000,5376689.06,7391351.89,7219900.94,8085131.64,7479966.83,15006444.65,16077173.1,75563950.89,89390834.14,103047163,116396377.7,150840881.46,164477765.61,227273411.49,250515510.01,
BA,29,Bahia,3557.2858181818,16444.4745454546,171184.393818181,4305679.63636363,95372000,243027725.88,346112574.29,485865621.2,463569675.12,485306724.78,541769580.58,598462046,760588586.03,857568442.85,1019585528.78,1242761333.55,1429220495.91,1598943166.54,1773495153.2,1953116459.91,
CE,23,Ceará,1589.2810909091,6828.9756363636,73750.6770909091,1651326.54545454,45037000,98083000,3043391,144948557,175129532,183252331,203612227.35,277226000,295451932,304681185,333876506,388845574,450389925,520384805.69,626629766.83,887921249.87,
DF,53,Distrito Federal,5528.4076363636,32655.9065454546,350693.758909091,8856088,209422000,424493975,500138958,554026873,554888117,694659353.17,873220409.05,0,1249832074.63,283682479.42,111134507.09,115872430.44,92236299.12,81209760.85,146588077.76,214460778.12,
ES,32,Espírito Santo,1859.9701818182,8324.8309090909,85932.5094545455,2581299.27272727,78931000,151424590.44,192618652.96,198922619.19,243214339.84,252473453,245926256.05,243597712.41,311532704.45,422317829.79,389174096.12,431043308.85,472818285.82,690022984.51,656920123.27,699767868.66,
GO,52,Goiás,2358.3429090909,10853.3058181818,109741.50690909,2502615.63636363,73622000,122559961.74,131601939.86,152156904.6,180007898.3,201905777.62,268852220.15,399762913.88,455369240.17,457862763.29,613862736.5,637113716.07,714884471.11,953456460.09,902663939.2,1089427477.95,
MA,21,Maranhão,950.376,3624.2952727273,41656.0247272727,976881.090909091,38090000,65302646.69,82389231.19,89577619.68,99404798.81,97157352.9,4167414.35,17805641.9,231574643.64,288103176.32,293398405.51,314976276.48,363286310.3,424038829.28,520747450.28,678851059.57,
MG,31,Minas Gerais,9186.1476363636,45027.6672727273,457460.931636363,11417934.5454545,287120000,534230837.9,602462440.15,723450242.47,854536784.07,858776286.78,1670226975.59,2220211246.23,2435088772.62,2463467827.42,2669883157.26,3303515025.05,3911127686.93,4280390224.47,4959078083.58,5619757915.36,
MS,50,Mato Grosso do Sul,2009.9501818182,6694.92,65369.7109090909,1205888.72727272,36313000,73099521.42,86672412.42,102501499.48,147797805.98,143304855.16,184608566.07,208172226.68,223792431.83,350824769.89,347559703.81,366902876.219999,415084203.64,540034863.92,629950947.06,644870906.2,
MT,51,Mato Grosso,872.8545454545,6807.9098181818,54980.2585454546,1385790.9090909,41026000,88551645.53,99455165.5,139112788.28,132732049.73,136649845,169095733.06,201758740.49,248635210.59,328778119.7,387209911.4,455518979.46,508233935.3,447823387.84,730503499.89,857495404.81,
PA,15,Pará,1338.7254545455,7657.5825454545,77099.5792727273,1884082.18181818,71847000,118419650.92,140169161.62,223489024.32,252082454.37,259222269.79,234027275.42,250849618.47,286269109.37,331923727.87,414139053.13,471749343.85,632472050.66,689889794.68,860726797.86,941012735.94,
PB,25,Paraíba,1789.4472727273,5264.0585454545,44652.6130909091,1012173.09090909,27265000,47046000,45615001.78,8506087.97,9955432.61,10898245.43,115615466.77,139689668.25,165637514.95,256919770.11,258346674.08,280568950.92,362317230.03,406129846.38,480847086.97,562554659.07,
PE,26,Pernambuco,4150.2138181818,21499.1556363636,213013.629818181,4416609.81818181,99849000,225587466.34,219018954.65,242882534.07,316335559.6,375348657.87,443141598.12,511339743.77,587171599.4,555867280.41,692899467.34,809180407.7,780179117.93,919642535.62,1154779696.5,1366551692.98,
PI,22,Piauí,1403.1792727273,4999.7749090909,45666.6621818182,1377298.9090909,29132000,74009746.83,75615238.7,82141938.07,93545314.23,103070104.32,106226515.55,145061781,192764457.01,211397946.12,2292297,197700521.32,205831227.3,236907718.47,178751382.55,264975406.9,
PR,41,Paraná,3805.4265454545,19511.3225454546,205691.776363636,3703881.09090909,103804000,305198626,391016771,497771102,501183692,501616080,493255084.33,577202059,654425776.01,680955604.48,299204829,853120618.75,1010463463.44,1037252832.89,1153288039.28,1201863636.73,
RJ,33,Rio de Janeiro,12037.428,59260.6407272727,582040.25090909,11993268.3636363,387412000,674937264.52,698636464.75,796148677.44,962764418.64,1522068308.61,1754927179.85,2410790530.12,3023108807.66,3206658460.19,3317217833.72,3645625158.05,4200236163.31,4386232483.5,4919988135.66,3710870803.04,
RN,24,Rio Grande do Norte,747.5687272727,3980.8989090909,24411.4905454545,693558.181818181,16490000,36575298.93,41754141.14,49547734.17,74454305.77,98946832.65,121864240.76,143405213.17,172384881.48,197718524.33,221179624.57,253401936.19,295295137.83,395413698.86,490785108.33,566275098.61,
RO,11,Rondônia,2302.1730909091,7606.2716363636,58044.8323636364,1284966.9090909,36880000,86636927.33,96826163.01,94971713.12,117502438.9,123696899.84,27742472.44,26019223.06,220742445.67,227534511.57,267323931.52,295629298.65,352730994.87,384090094.76,489325982.25,566115588.61,
RR,14,Roraima,301.9858181818,380.288,4170.0792727273,98521.0909090909,2660000,6468289.46,7174715.85,8006208.59,8839597.85,12573994.82,16348344.98,19854118.03,34173323,46977358,53415993.92,64522776.14,89165121.32,105115759.71,137389193.74,126959188.15,
RS,43,Rio Grande do Sul,9133.9094545455,37648.4381818182,501651.698909091,7636710.18181818,219411000,407190576.1,501167054.94,529025515.14,771737371.65,648022734.39,766458472,882265435.55,952000537.31,1161233447.37,997010383.92,1287690257.7,1447229713.34,1533796986.25,1378601729.84,2194108378.75,
SC,42,Santa Catarina,4427.6563636364,15107.9574545455,155552.195272727,3517796.36363636,89503000,182299848.74,207375582.74,231441321,318966291,299834372.2,445717520.26,497887737.42,634652664.58,725252074.88,856601581.91,1055514185.41,908407159.12,1025483096.08,169911093.61,1380671230.68,
