PIB Estadual per capita
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,8.5046506371,8.7232716989,8.5758084005,8.5919435813,8.4737417079,8.5777487009,8.5137013716,8.2219297645,8.3880379051,8.304872692,8.4004032965,8.4772487716,8.6074182777,8.7019837683,9.2998229259,9.396913016,9.6611772592,10.7836698517,11.1098707418,11.0597301472,
AL,27,Alagoas,6.1245303676,6.1700559571,6.3226355082,6.0055725931,6.362685085,6.181753266,6.1250000647,6.3801014987,6.447201319,6.2677884172,6.3133529976,6.3528049829,6.2872324787,6.178023009,6.3815555297,6.6081828111,6.8190719202,7.1293278871,7.2077456254,7.2927619283,
AM,13,Amazonas,7.61623794,7.4714279528,6.8910919713,7.6225792821,9.1526483236,10.9038598352,11.920735704,12.5840328433,12.3624364686,11.9482965341,12.5355707993,12.5423008019,12.9410669011,13.1885327345,14.2952073549,15.3264020919,15.3475107365,16.4806154295,16.6037708246,16.019450134,
AP,16,Amapá,9.5215635588,9.7164943169,9.5533348074,9.9624865074,9.9455589035,9.9051725699,9.9554276523,10.024907922,9.5898020439,9.2743099109,9.3485932333,9.5227544581,9.7818668399,10.1518849875,11.0557181174,10.8177964784,11.0516872773,12.179289553,12.0084288538,12.2159969394,
BA,29,Bahia,5.8660892283,5.9453154161,6.1199571037,6.7071595846,7.0983759938,7.5137840396,7.5672092573,7.9824002239,7.9501759825,7.9034016919,8.1411042614,8.0946637877,8.1348908561,8.227135227,8.9283691796,9.2705719063,9.4249209694,9.8299637279,10.0379092653,9.8892315521,
CE,23,Ceará,5.0900604617,5.3126551561,5.513377769,5.7601409702,6.3225332816,6.9424553558,7.0754424101,7.1261578509,6.9706269201,6.8808593641,7.0811125819,6.8740162257,7.0147256098,7.0091423501,7.2591488251,7.3520032986,7.8259597756,8.1185564524,8.531601644,8.4377466295,
DF,53,Distrito Federal,46.1145198188,45.743612208,44.7633556276,45.6183027996,45.7808384624,46.2715859389,46.5509286184,47.2331793556,47.1868020461,47.1897013949,47.5907176968,47.99712472,48.8100390334,48.4338137455,49.6949921719,51.1215074412,52.7587778152,54.2271992709,54.0583208611,55.1472120106,
ES,32,Espírito Santo,13.4193613084,14.070597162,14.1747367354,14.3172081251,15.0099077023,14.8183667859,15.4808004429,15.3001563912,15.5728608745,15.3823960272,16.4679144788,16.2371027289,17.0885280941,17.0376139329,17.693139282,18.1338684187,19.2140744899,21.4164618852,22.3992680313,20.6905117036,
GO,52,Goiás,11.1470073868,11.2039309628,11.0574563657,11.5024229008,11.5558264926,11.5187377268,11.578657072,11.8932970314,11.8022273656,11.6898133397,12.0131469004,12.1528450862,12.5324549937,12.7945643335,13.1910107165,13.4691955626,13.6185075478,14.5762301837,15.2081015083,15.138882744,
MA,21,Maranhão,4.5723258956,4.6903436841,4.5068794504,4.7160590429,4.7580191893,4.7677659129,4.9082911538,4.9854113982,4.6791766448,4.7300162652,4.8679328291,4.8849245308,4.9532974789,5.1004874094,5.4821678176,5.8054251228,6.0142360476,6.6318847185,6.7171584659,6.5372781629,
