PIB Estadual - valor adicionado a preços constantes - var.(%)
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,
AC,12,Acre,3.6802715838,4.9486247237,2.9037203737,3.30100531,1.566071674,4.1316927097,2.0086610407,-0.8269731407,4.5295861197,4.0925988843,4.1088418927,3.8004244564,4.3880009673,3.8886274526,7.5803205902,7.3612530992,5.4090475188,6.5359887195,6.9057975595,1.1675078909,10.8949909444,
AL,27,Alagoas,8.0627200891,2.5183064929,2.9966307145,-3.8898804619,7.1737698438,-1.7415160755,0.1881765424,5.3113136998,2.16837817,-1.3341021889,1.9439823983,1.8336021106,0.1550302125,-0.5608108662,4.5156935401,4.7671904699,4.3799838839,4.0898716833,4.1065992336,2.1031359483,6.7692961725,
AM,13,Amazonas,0.0161219287,0.7075012638,-3.8123801177,14.0853396741,23.6883548608,22.5827701837,12.3879149545,8.4310499734,0.6126874881,-0.2494311992,7.8304429164,2.7756058036,5.9410000544,4.5949800932,10.3253009936,10.4109239025,2.5757329159,4.4937552635,4.4732157523,-2.0097402827,9.9694417756,
AP,16,Amapá,1.3680245361,5.3847757722,8.5780000395,10.1340430151,5.0800518008,4.5228028574,5.2246803625,5.1977134754,-0.3558388772,2.1797072709,5.241070066,6.1874199668,6.9485810599,7.9254170664,7.972890635,6.2826724028,5.7923112495,5.1191327384,2.937260003,3.9591982547,7.9861178338,
BA,29,Bahia,6.4156100862,3.0687748,3.0687748,10.68046044,6.860340644,6.860340644,1.6567860463,6.4649171017,0.4597258003,0.6174501315,4.0501511865,0.4320075493,1.510732213,2.1538491618,9.6270480496,4.8440626064,2.656996665,5.2734281223,5.1751131576,-0.5654756748,6.6238498377,
CE,23,Ceará,11.6080154429,5.8481855689,5.8481855689,6.1433425054,11.4705459953,11.4705459953,3.4313306877,2.1879709539,-0.7496476826,0.6512489178,4.5416879597,-1.4003129818,3.6413453902,1.4726216334,5.1504274981,2.811841014,8.021637112,3.3368865679,8.4934644498,0.0384501871,7.9601067598,
DF,53,Distrito Federal,3.3247776336,1.3825516441,1.2778017526,4.5613999429,2.8753346238,3.5233980382,2.974954536,3.7944909491,2.3042977449,3.0590585856,3.3080756867,3.2688259046,4.0969578143,1.5425899466,4.9404282365,5.1721864202,5.4443059075,5.8928793376,3.7986468609,3.998091287,4.2736305723,
ES,32,Espírito Santo,-3.0072876717,6.7921205935,2.7369291613,2.847618799,6.6973478967,0.4277899303,6.23458835,0.4691339855,3.3875357716,0.956513269,8.9587315681,0.3301667574,7.0795656311,1.428204875,5.6140521166,4.2136342361,7.6952444487,7.8389780971,7.7712625099,-6.7312598762,13.8179377744,
GO,52,Goiás,0.0111460865,2.3821251309,1.8516533595,6.4259512115,2.7085733807,1.8365151264,2.639901416,4.8318156179,1.1927420314,1.7472526293,5.0097392291,3.3378928026,5.3172473838,4.2387123502,5.2214174032,4.1790128838,3.1026068457,5.4689181233,7.9925155636,0.9294769165,8.7590294199,
MA,21,Maranhão,-1.173381089,4.2014283858,-2.6702867853,6.1097455841,2.2717517827,1.5461132394,4.3008773375,2.8849930116,-4.919521204,2.8511664425,4.3687527744,1.7547721142,2.8153847768,4.4033196999,8.9565652959,7.335494611,4.9752855751,9.101151652,4.3736640788,-1.7271681425,8.7261841056,
