PIB Estadual a preços constantes
Sigla,Código,Estado,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,
AC,12,Acre,3579888.10663203,3757043.3345579,3866137.36731238,3993758.76709823,4056303.89187842,4223897.90406262,4308741.69566078,4273109.55913591,4466663.73660516,4649466.36685464,4840505.58872459,5024465.34693373,5244938.93495972,5448895.07025775,5861938.78520646,6293450.93570473,6633866.68738923,7067455.46574626,7555519.63281918,7643730.92072874,
AL,27,Alagoas,15487583.7784208,15877608.6063094,16353401.9025336,15717274.1170712,16844795.18795,16551440.3718613,16582586.3000631,17463339.4779952,17842010.7189827,17603980.0634292,17946198.3372645,18275260.2087444,18303592.3834741,18200943.8484753,19022842.694071,19929697.8380834,20802615.3914938,21653415.6677773,22542634.6696484,23016736.9230907,
AM,13,Amazonas,16160392.6132879,16274727.5952673,15654273.1162102,17859230.6581368,22089788.5918521,27078274.7836083,30432708.4349374,32998505.2913557,33200683.0045309,33117870.1427546,35711146.059418,36702346.7019656,38882833.1394783,40669491.5819248,44868739.0003091,49539989.273656,50816007.0839,53099554.0769183,55474811.6943116,54359912.0569622,
AP,16,Amapá,2785523.89756174,2935518.1135254,3187326.85846261,3510331.93333155,3688658.61392494,3855489.37111406,4056926.36716661,4267793.77564173,4252607.3061893,4345301.69684479,4573042.00335434,4855995.31735931,5193418.08825032,5605018.13174437,6051900.09746089,6432121.15472739,6804689.63195403,7153030.72665269,7363133.83718804,7654654.90356025,
BA,29,Bahia,70009715.9425173,72158156.4629323,74372527.7846314,82315856.1929273,87963004.3317604,93997566.0695868,95554904.6281263,101732449.998959,102200140.318879,102831175.219682,106995993.282888,107458224.051316,109081630.05762,111431083.832286,122158607.815054,128076047.256716,131479023.560972,138412475.364313,145575477.588653,144752283.674346,
CE,23,Ceará,32558210.3489925,34462274.9081082,36477692.6959924,38718642.2963721,43159881.9697345,48110556.0825917,49761388.3574985,50850153.0810016,50468956.0868186,50797634.6171356,53104704.6723323,52361072.5988458,54267720.1021881,55066878.2883699,57903057.9300855,59531199.8613487,64306576.6826363,66452414.202243,72096526.378548,72124247.6278525,
DF,53,Distrito Federal,74373866.479868,75402123.593674,76365613.2504268,79848954.2896181,82144878.9190351,85039169.9713885,87569046.6158674,90891846.1638886,92986264.9253229,95830769.2459623,99000923.6237622,102237091.460922,106425701.968643,108067414.147777,113406407.190802,119271997.983147,125765530.415328,133176741.371042,138235655.476617,143762443.173791,
ES,32,Espírito Santo,35112577.444533,37497466.0480631,38523745.1310726,39620754.5395178,42274294.3103281,42455139.4845083,45102042.6647949,45313631.6750713,46848647.1574785,47296760.6838746,51533950.5139565,51704098.4873405,55364524.0737186,56155242.9055564,59307827.5084968,61806842.4330644,66563030.044295,71780891.3902527,77359172.8921476,72151925.9266991,
GO,52,Goiás,45075242.9459147,46148991.6359607,47003510.9899741,50023933.6738763,51378868.6253268,52322449.3193889,53703710.3998499,56298574.666341,56970071.4294511,57965482.500416,60869402.0165606,62901157.4054521,66245767.5519911,69053735.082679,72659318.8238629,75695761.1187946,78044302.9851915,82312482.0153213,88891319.9512163,89717544.2509684,
MA,21,Maranhão,22660643.7487705,23612714.4676313,22982187.2735605,24386340.4456379,24940337.5694508,25325943.4305665,26415181.1920923,27177257.3234759,25840266.3867855,26577015.3906575,27738099.4878783,28224839.9227137,29019477.7691823,30297298.150602,33010895.4423512,35432407.8985682,37195271.3776401,40580469.4331081,42355322.8477099,41623775.2048476,
MG,31,Minas Gerais,197253727.126771,202235049.626845,198000332.741056,206375178.400086,217823804.137913,224717889.126021,233013624.106997,239993350.283935,239355543.253639,239550812.072034,251795327.012137,251503270.713981,260887234.093497,264508570.32234,280027170.896139,291120027.882921,302431432.860371,319391235.055936,335936339.457626,322612025.24698,
MS,50,Mato Grosso do Sul,19005063.7962438,20027120.7621991,20432269.1403117,22060323.9852991,22807787.8231467,23939063.0600838,24460029.915929,25571246.9991832,26281721.1658161,26524162.0464475,27166580.6295455,28879309.7128563,29729443.9772345,31995239.5951958,31585402.6706753,32626376.6948023,34311309.3123001,36701127.5274457,39034539.8779829,39199848.7535601,
MT,51,Mato Grosso,16752963.2003723,18004948.8221874,20008327.7120881,21434105.1789882,23982369.183563,24450286.4312482,25155975.8092733,26520002.0967083,28254874.2964328,30418677.864191,32741516.2882169,34949328.7839057,38241997.0872225,39859575.9090987,46264229.5909984,48682217.9427067,46453960.4946401,51723298.6142287,56146710.8184755,57520929.8371693,
PA,15,Pará,42349504.2497605,41446579.4643364,42866753.269724,45877905.0695272,45144977.4408255,45159307.0904731,45284172.5005505,46622444.6378988,47675170.852379,48539243.7412351,50822027.0732054,52599758.589358,54513151.9450381,58018889.5213385,62215374.4892728,64818947.9337773,69415227.8289002,70970315.0729179,74477160.7207923,72074490.4229117,
